,city,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chicago,82.29,58,89,8.28,US,2022-07-16
1,Chicago,82.29,58,89,8.28,US,2022-07-16
2,Las Vegas,104.09,23,0,4.0,US,2022-07-16
3,Los Angeles,97.59,65,0,9.22,US,2022-07-16
4,Miami,90.99,72,57,4.0,US,2022-07-16
5,New York,88.36,64,20,9.22,US,2022-07-16
6,New York,88.36,64,20,9.22,US,2022-07-16
7,Orlando,89.08,79,96,7.92,US,2022-07-16
8,San Francisco,85.51,77,20,12.66,US,2022-07-16
9,Seattle,69.17,72,99,5.01,US,2022-07-16
10,Washington,79.48,39,0,5.79,US,2022-07-16
11,Boston,87.4,46,100,8.99,US,2022-07-16
